component_id_dec,component_id_hex,graphics_bank,source_addr,top_row_bytes,bottom_row_bytes,nonzero_bytes,referenced_by_gobj_metadata,example_gobj_ids,replacement_risk
451,$1C3,$89,$89E0C0,$89E0C0-$89E0FF,$89E2C0-$89E2FF,32,0,,unknown
452,$1C4,$89,$89E100,$89E100-$89E13F,$89E300-$89E33F,44,0,,unknown
453,$1C5,$89,$89E140,$89E140-$89E17F,$89E340-$89E37F,36,0,,unknown
454,$1C6,$89,$89E180,$89E180-$89E1BF,$89E380-$89E3BF,54,0,,unknown
455,$1C7,$89,$89E1C0,$89E1C0-$89E1FF,$89E3C0-$89E3FF,44,0,,unknown
456,$1C8,$89,$89E200,$89E200-$89E23F,$89E400-$89E43F,69,0,,unknown
457,$1C9,$89,$89E240,$89E240-$89E27F,$89E440-$89E47F,103,0,,unknown
458,$1CA,$89,$89E280,$89E280-$89E2BF,$89E480-$89E4BF,105,0,,unknown
459,$1CB,$89,$89E2C0,$89E2C0-$89E2FF,$89E4C0-$89E4FF,78,0,,unknown
460,$1CC,$89,$89E300,$89E300-$89E33F,$89E500-$89E53F,108,0,,unknown
461,$1CD,$89,$89E340,$89E340-$89E37F,$89E540-$89E57F,100,0,,unknown
462,$1CE,$89,$89E380,$89E380-$89E3BF,$89E580-$89E5BF,50,0,,unknown
463,$1CF,$89,$89E3C0,$89E3C0-$89E3FF,$89E5C0-$89E5FF,105,0,,unknown
464,$1D0,$89,$89E400,$89E400-$89E43F,$89E600-$89E63F,97,0,,unknown
465,$1D1,$89,$89E440,$89E440-$89E47F,$89E640-$89E67F,124,0,,unknown
466,$1D2,$89,$89E480,$89E480-$89E4BF,$89E680-$89E6BF,72,0,,unknown
467,$1D3,$89,$89E4C0,$89E4C0-$89E4FF,$89E6C0-$89E6FF,77,0,,unknown
