visual_or_object_ref,pass83_ref_class,entry_count,groups,domains,roles,example_entries
$B392,bank_b3_b5_script_target_or_local_pointer,5,$00:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$00:124@$B3922A $00:126@$B39250 $00:126@$B39250 $00:126@$B39250 $00:126@$B39250
$B39F,bank_b3_b5_script_target_or_local_pointer,5,$01:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E
$B3A0,bank_b3_b5_script_target_or_local_pointer,5,$01:5,npc_family_event_visual_context:5,cc_object_visual_pointer_setup:5,$01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086
$B3A7,bank_b3_b5_script_target_or_local_pointer,5,$01:5,cow_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$01:7@$B3A727 $01:7@$B3A727 $01:7@$B3A727 $01:7@$B3A727 $01:7@$B3A727
$B3B4,bank_b3_b5_script_target_or_local_pointer,5,$02:5,npc_family_event_visual_context:5,cc_object_visual_pointer_setup:5,$02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A
$B3C6,bank_b3_b5_script_target_or_local_pointer,5,$04:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$04:1@$B3C6AE $04:1@$B3C6AE $04:1@$B3C6AE $04:1@$B3C6AE $04:1@$B3C6AE
$B589,bank_b3_b5_script_target_or_local_pointer,5,$43:5,general_livestock_visual_context:4 dog_pet_visual_context:1,cc_object_visual_pointer_setup:5,$43:1@$B584DA $43:2@$B58990 $43:2@$B58990 $43:2@$B58990 $43:2@$B58990
$B58E,bank_b3_b5_script_target_or_local_pointer,5,$43:5,dog_pet_visual_context:4 general_livestock_visual_context:1,cc_object_visual_pointer_setup:5,$43:2@$B58990 $43:3@$B58E4E $43:3@$B58E4E $43:3@$B58E4E $43:3@$B58E4E
$B593,bank_b3_b5_script_target_or_local_pointer,5,$43:5,dog_pet_visual_context:5,cc_object_visual_pointer_setup:5,$43:3@$B58E4E $43:4@$B59313 $43:4@$B59313 $43:4@$B59313 $43:4@$B59313
$B59B,bank_b3_b5_script_target_or_local_pointer,5,$44:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$44:1@$B599EB $44:1@$B599EB $44:1@$B599EB $44:1@$B599EB $44:1@$B599EB
