visual_or_object_ref,pass84_resolution_class,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,groups,example_entries
$89B4,source_address_line_match,SourceLineRef_general_livestock_89B4_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:70@$B39093
$89C0,source_address_line_match,SourceLineRef_general_livestock_89C0_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:71@$B39099
$89D8,source_address_line_match,SourceLineRef_general_livestock_89D8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:73@$B390A5
$89FC,source_address_line_match,SourceLineRef_general_livestock_89FC_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:77@$B390BD
$8A08,source_address_line_match,SourceLineRef_general_livestock_8A08_data_banks_bank_B3_data_banks_bank_BA,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:78@$B390C3
$8A14,source_address_line_match,SourceLineRef_general_livestock_8A14_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:79@$B390C9
$8A20,source_address_line_match,SourceLineRef_general_livestock_8A20_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:80@$B390CF
$90DB,source_address_line_match,SourceLineRef_general_livestock_90DB_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,general_livestock,$07:1,$07:1@$B3DB72
$ABA0,source_address_line_match,SourceLineRef_npc_family_or_romance_ABA0_code_banks_bank_83_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,$01:1,$01:3@$B3A086
$B336,source_address_line_match,SourceLineRef_general_livestock_B336_code_banks_bank_81_code_banks_bank_84,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:18@$B38DB0
$B39E,source_address_line_match,SourceLineRef_general_livestock_B39E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,1,general_livestock,$01:1,$01:1@$B39D05
$B3A2,source_address_line_match,SourceLineRef_dog_pet_B3A2_data_banks_bank_B6_maps_Maps_Graphics,context_source_address_not_final_gobj,medium,1,dog_pet,$01:1,$01:4@$B3A162
$B3BA,source_address_line_match,SourceLineRef_general_livestock_B3BA_code_banks_bank_83_code_banks_bank_84,context_source_address_not_final_gobj,medium,1,general_livestock,$02:1,$02:4@$B3B8D2
$B401,source_address_line_match,SourceLineRef_general_livestock_B401_code_banks_bank_84,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:27@$B38E48
$B59C,source_address_line_match,SourceLineRef_general_livestock_B59C_data_banks_bank_B6,context_source_address_not_final_gobj,medium,1,general_livestock,$44:1,$44:2@$B59BE3
$B59E,source_address_line_match,SourceLineRef_general_livestock_B59E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,1,general_livestock,$44:1,$44:3@$B59DD3
$B6D9,visual_param_or_non_gobj_id,VisualParam_cow_livestock_B6D9,visual_param_not_final_gobj,medium,1,cow_livestock,$06:1,$06:6@$B3D99B
$B8D5,visual_param_or_non_gobj_id,VisualParam_general_livestock_B8D5,visual_param_not_final_gobj,medium,1,general_livestock,$06:1,$06:1@$B3D59D
$B9E5,visual_param_or_non_gobj_id,VisualParam_npc_family_or_romance_B9E5,visual_param_not_final_gobj,medium,1,npc_family_or_romance,$08:1,$08:7@$B3E59A
$C4CA,source_address_line_match,SourceLineRef_npc_family_or_romance_C4CA_code_banks_bank_80_pointersubrutines_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,$04:1,$04:5@$B3CA98
$CC01,source_address_line_match,SourceLineRef_general_livestock_CC01_code_banks_bank_84,context_source_address_not_final_gobj,medium,1,general_livestock,$00:1,$00:28@$B38E5D
$CECB,source_address_line_match,SourceLineRef_npc_family_or_romance_CECB_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,$04:1,$04:7@$B3CBA5
$D3C6,source_address_line_match,SourceLineRef_general_livestock_D3C6_code_banks_bank_83,context_source_address_not_final_gobj,medium,1,general_livestock,$04:1,$04:1@$B3C6AE
$ECA6,source_address_line_match,SourceLineRef_general_livestock_ECA6_code_banks_bank_81_code_banks_bank_83,context_source_address_not_final_gobj,medium,1,general_livestock,$01:1,$01:6@$B3A5B1
$ECE0,source_address_line_match,SourceLineRef_general_livestock_ECE0_code_banks_bank_83_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,general_livestock,$07:1,$07:6@$B3DFCE
