old_label,new_label
CODE_849EF5,EventScriptBank84_Branch_849EF5
CODE_849F01,EventScriptBank84_Branch_849F01
CODE_849F04,EventScriptBank84_Branch_849F04
CODE_849F12,EventScriptBank84_Branch_849F12
CODE_849F1B,EventScriptBank84_Branch_849F1B
CODE_849F24,EventScriptBank84_Branch_849F24
CODE_849F43,EventScriptBank84_Branch_849F43
CODE_849F62,EventScriptBank84_Branch_849F62
CODE_849F81,EventScriptBank84_Branch_849F81
CODE_849F91,EventScriptBank84_Branch_849F91
CODE_849FB6,EventScriptBank84_Branch_849FB6
CODE_849FBC,EventScriptBank84_Branch_849FBC
CODE_849FD0,EventScriptBank84_Branch_849FD0
CODE_849FE9,EventScriptBank84_Branch_849FE9
CODE_84A000,EventScriptBank84_Branch_84A000
CODE_84A017,EventScriptBank84_Branch_84A017
CODE_84A02E,EventScriptBank84_Branch_84A02E
CODE_84A044,EventScriptBank84_Branch_84A044
CODE_84A05D,EventScriptBank84_Branch_84A05D
CODE_84A073,EventScriptBank84_Branch_84A073
CODE_84A089,EventScriptBank84_Branch_84A089
CODE_84A09F,EventScriptBank84_Branch_84A09F
CODE_84A0B5,EventScriptBank84_Branch_84A0B5
CODE_84A0B9,EventScriptBank84_Branch_84A0B9
CODE_84A0C7,EventScriptBank84_Branch_84A0C7
CODE_84A0D0,EventScriptBank84_Branch_84A0D0
CODE_84A0D9,EventScriptBank84_Branch_84A0D9
CODE_84A0DC,EventScriptBank84_Branch_84A0DC
CODE_84A0FF,EventScriptBank84_Branch_84A0FF
CODE_84A113,EventScriptBank84_Branch_84A113
CODE_84A11A,EventScriptBank84_Branch_84A11A
CODE_84A11D,EventScriptBank84_Branch_84A11D
CODE_84A148,EventScriptBank84_Branch_84A148
CODE_84A173,EventScriptBank84_Branch_84A173
CODE_84A19E,EventScriptBank84_Branch_84A19E
CODE_84A1C9,EventScriptBank84_Branch_84A1C9
CODE_84A1EC,EventScriptBank84_Branch_84A1EC
CODE_84A200,EventScriptBank84_Branch_84A200
CODE_84A207,EventScriptBank84_Branch_84A207
CODE_84A20A,EventScriptBank84_Branch_84A20A
CODE_84A235,EventScriptBank84_Branch_84A235
CODE_84A260,EventScriptBank84_Branch_84A260
CODE_84A28B,EventScriptBank84_Branch_84A28B
CODE_84A2B6,EventScriptBank84_Branch_84A2B6
CODE_84A2D9,EventScriptBank84_Branch_84A2D9
CODE_84A2EC,EventScriptBank84_Branch_84A2EC
CODE_84A301,EventScriptBank84_Branch_84A301
CODE_84A308,EventScriptBank84_Branch_84A308
CODE_84A30B,EventScriptBank84_Branch_84A30B
CODE_84A330,EventScriptBank84_Branch_84A330
CODE_84A335,EventScriptBank84_Branch_84A335
CODE_84A338,EventScriptBank84_Branch_84A338
CODE_84A352,EventScriptBank84_Branch_84A352
CODE_84A377,EventScriptBank84_Branch_84A377
CODE_84A37C,EventScriptBank84_Branch_84A37C
CODE_84A37F,EventScriptBank84_Branch_84A37F
CODE_84A399,EventScriptBank84_Branch_84A399
CODE_84A3BE,EventScriptBank84_Branch_84A3BE
CODE_84A3C3,EventScriptBank84_Branch_84A3C3
CODE_84A3C6,EventScriptBank84_Branch_84A3C6
CODE_84A3E0,EventScriptBank84_Branch_84A3E0
CODE_84A405,EventScriptBank84_Branch_84A405
CODE_84A40A,EventScriptBank84_Branch_84A40A
CODE_84A40D,EventScriptBank84_Branch_84A40D
CODE_84A427,EventScriptBank84_Branch_84A427
CODE_84A44C,EventScriptBank84_Branch_84A44C
CODE_84A451,EventScriptBank84_Branch_84A451
CODE_84A454,EventScriptBank84_Branch_84A454
CODE_84A46E,EventScriptBank84_Branch_84A46E
CODE_84A47C,EventScriptBank84_Branch_84A47C
CODE_84A48A,EventScriptBank84_Branch_84A48A
CODE_84A498,EventScriptBank84_Branch_84A498
CODE_84A4A6,EventScriptBank84_Branch_84A4A6
CODE_84A4E4,EventScriptBank84_Branch_84A4E4
CODE_84A4F5,EventScriptBank84_Branch_84A4F5
CODE_84A540,EventScriptBank84_Branch_84A540
CODE_84A595,EventScriptBank84_Branch_84A595
CODE_84A607,EventScriptBank84_Branch_84A607
CODE_84A617,EventScriptBank84_Branch_84A617
CODE_84A645,EventScriptBank84_Branch_84A645
CODE_84A64E,EventScriptBank84_Branch_84A64E
CODE_84A657,EventScriptBank84_Branch_84A657
CODE_84A65A,EventScriptBank84_Branch_84A65A
CODE_84A68C,EventScriptBank84_Branch_84A68C
CODE_84A6BD,EventScriptBank84_Branch_84A6BD
CODE_84A6D9,EventScriptBank84_Branch_84A6D9
CODE_84A6DE,EventScriptBank84_Branch_84A6DE
CODE_84A6E1,EventScriptBank84_Branch_84A6E1
CODE_84A70E,EventScriptBank84_Branch_84A70E
CODE_84A71C,EventScriptBank84_Branch_84A71C
CODE_84A728,EventScriptBank84_Branch_84A728
CODE_84A734,EventScriptBank84_Branch_84A734
CODE_84A740,EventScriptBank84_Branch_84A740
CODE_84A750,EventScriptBank84_Branch_84A750
CODE_84A77E,EventScriptBank84_Branch_84A77E
CODE_84A787,EventScriptBank84_Branch_84A787
CODE_84A790,EventScriptBank84_Branch_84A790
CODE_84A793,EventScriptBank84_Branch_84A793
CODE_84A7C5,EventScriptBank84_Branch_84A7C5
CODE_84A7F6,EventScriptBank84_Branch_84A7F6
CODE_84A804,EventScriptBank84_Branch_84A804
CODE_84A815,EventScriptBank84_Branch_84A815
CODE_84A81A,EventScriptBank84_Branch_84A81A
CODE_84A81D,EventScriptBank84_Branch_84A81D
CODE_84A84A,EventScriptBank84_Branch_84A84A
CODE_84A860,EventScriptBank84_Branch_84A860
CODE_84A86D,EventScriptBank84_Branch_84A86D
CODE_84A87D,EventScriptBank84_Branch_84A87D
CODE_84A88A,EventScriptBank84_Branch_84A88A
CODE_84A8B2,EventScriptBank84_Branch_84A8B2
CODE_84A8C7,EventScriptBank84_Branch_84A8C7
CODE_84A8CF,EventScriptBank84_Branch_84A8CF
CODE_84A8D7,EventScriptBank84_Branch_84A8D7
CODE_84A8E5,EventScriptBank84_Branch_84A8E5
CODE_84A8F3,EventScriptBank84_Branch_84A8F3
CODE_84A901,EventScriptBank84_Branch_84A901
CODE_84A968,EventScriptBank84_Branch_84A968
CODE_84A974,EventScriptBank84_Branch_84A974
CODE_84A980,EventScriptBank84_Branch_84A980
CODE_84A98C,EventScriptBank84_Branch_84A98C
CODE_84A998,EventScriptBank84_Branch_84A998
CODE_84A9B7,EventScriptBank84_Branch_84A9B7
CODE_84A9C3,EventScriptBank84_Branch_84A9C3
CODE_84A9CD,EventScriptBank84_Branch_84A9CD
CODE_84A9D7,EventScriptBank84_Branch_84A9D7
CODE_84AA1E,EventScriptBank84_Branch_84AA1E
CODE_84AA2E,EventScriptBank84_Branch_84AA2E
CODE_84AA40,EventScriptBank84_Branch_84AA40
CODE_84AA4F,EventScriptBank84_Branch_84AA4F
CODE_84AA79,EventScriptBank84_Branch_84AA79
CODE_84AA85,EventScriptBank84_Branch_84AA85
CODE_84AA91,EventScriptBank84_Branch_84AA91
CODE_84AA9D,EventScriptBank84_Branch_84AA9D
CODE_84AAA9,EventScriptBank84_Branch_84AAA9
CODE_84AAC8,EventScriptBank84_Branch_84AAC8
CODE_84AAD2,EventScriptBank84_Branch_84AAD2
CODE_84AB19,EventScriptBank84_Branch_84AB19
CODE_84AB5A,EventScriptBank84_Branch_84AB5A
CODE_84AB73,EventScriptBank84_Branch_84AB73
CODE_84AB81,EventScriptBank84_Branch_84AB81
CODE_84AB9A,EventScriptBank84_Branch_84AB9A
CODE_84ABA7,EventScriptBank84_Branch_84ABA7
CODE_84ABB4,EventScriptBank84_Branch_84ABB4
CODE_84ABC1,EventScriptBank84_Branch_84ABC1
CODE_84ABCE,EventScriptBank84_Branch_84ABCE
CODE_84ABDF,EventScriptBank84_Branch_84ABDF
CODE_84ABED,EventScriptBank84_Branch_84ABED
CODE_84ABF9,EventScriptBank84_Branch_84ABF9
CODE_84AC09,EventScriptBank84_Branch_84AC09
CODE_84AC15,EventScriptBank84_Branch_84AC15
CODE_84AC21,EventScriptBank84_Branch_84AC21
CODE_84AC2D,EventScriptBank84_Branch_84AC2D
CODE_84AC39,EventScriptBank84_Branch_84AC39
CODE_84AC45,EventScriptBank84_Branch_84AC45
CODE_84AC51,EventScriptBank84_Branch_84AC51
CODE_84AC6B,EventScriptBank84_Branch_84AC6B
CODE_84AC8C,EventScriptBank84_Branch_84AC8C
CODE_84AC9A,EventScriptBank84_Branch_84AC9A
CODE_84ACA8,EventScriptBank84_Branch_84ACA8
