group_id_hex,group_label,group_table_addr,bank,pointer_entries,unique_targets,linear_commands_sampled,avg_commands_per_unique_target,known_commands,unknown_or_unparsed_commands,semantic_tags,dominant_classes,opcode_histogram,first_opcode_histogram,stop_reasons
0A,EventScriptGroup_0A,$B3E83B,$B3,16,7,19,2.71,18,1,"objeto_cc, transicao_tela",script_control:8 cc_state_object:4 time_rng_palette:2 screen_transition:2 special_unknown:2 unknown:1,$4F:4 $50:4 $02:2 $08:2 $09:2 $38:2 $10:2 $FA:1,$4F:4 $02:2 $FA:1,stop_or_wait_opcode_$50:4; stop_or_wait_opcode_$10:2; unknown_opcode_$FA:1
0B,EventScriptGroup_0B,$B3E9DA,$B3,16,13,72,5.54,70,2,"dialogo, flags_memoria, objeto_cc, transicao_tela, player_anim",script_control:48 time_rng_palette:4 special_unknown:4 screen_transition:4 cc_state_object:4 player_camera_motion:2 unknown:2 flags_values:2,$09:32 $10:10 $38:4 $12:4 $02:2 $03:2 $08:2 $13:2 $1A:2 $1F:2 $07:1 $11:1,$09:9 $02:2 $07:1 $7A:1,stop_or_wait_opcode_$10:10; unknown_opcode_$55:1; next_entry_boundary:1; unknown_opcode_$7A:1
0C,EventScriptGroup_0C,$B3EF5A,$B3,16,3,3,1.0,2,1,controle_basico,script_control:2 unknown:1,$50:2 $88:1,$50:2 $88:1,stop_or_wait_opcode_$50:2; unknown_opcode_$88:1
0D,EventScriptGroup_0D,$B3F068,$B3,16,3,4,1.33,3,1,transicao_tela,script_control:2 screen_transition:1 unknown:1,$50:2 $06:1 $D4:1,$50:2 $06:1,stop_or_wait_opcode_$50:2; unknown_opcode_$D4:1
0E,EventScriptGroup_0E,$B3F0E6,$B3,16,3,50,16.67,50,0,"objeto_cc, audio",audio:46 cc_state_object:2 script_control:2,$00:46 $4F:2 $50:2,$4F:2 $00:1,stop_or_wait_opcode_$50:2; next_entry_boundary:1
0F,EventScriptGroup_0F,$B48000,$B4,16,7,13,1.86,12,1,objeto_cc,cc_state_object:6 script_control:6 unknown:1,$4F:6 $50:6 $D8:1,$4F:6 $D8:1,stop_or_wait_opcode_$50:6; unknown_opcode_$D8:1
10,EventScriptGroup_10,$B487B8,$B4,16,2,7,3.5,6,1,"objeto_cc, transicao_tela",script_control:4 screen_transition:1 special_unknown:1 unknown:1,$09:2 $08:1 $13:1 $10:1 $38:1 $88:1,$08:1 $38:1,stop_or_wait_opcode_$10:1; unknown_opcode_$88:1
11,EventScriptGroup_11,$B48818,$B4,16,2,2,1.0,1,1,controle_basico,script_control:1 unknown:1,$50:1 $C0:1,$50:1 $C0:1,stop_or_wait_opcode_$50:1; unknown_opcode_$C0:1
12,EventScriptGroup_12,$B488A0,$B4,16,2,3,1.5,2,1,controle_basico,script_control:1 special_unknown:1 unknown:1,$50:1 $4A:1 $89:1,$50:1 $4A:1,stop_or_wait_opcode_$50:1; unknown_opcode_$89:1
13,EventScriptGroup_13,$B4892A,$B4,16,2,2,1.0,1,1,controle_basico,script_control:1 unknown:1,$50:1 $F2:1,$50:1 $F2:1,stop_or_wait_opcode_$50:1; unknown_opcode_$F2:1
14,EventScriptGroup_14,$B489D2,$B4,16,6,12,2.0,11,1,"flags_memoria, objeto_cc",script_control:5 cc_state_object:4 conditional:1 special_unknown:1 unknown:1,$50:5 $4F:4 $45:1 $38:1 $8D:1,$4F:4 $50:1 $45:1,stop_or_wait_opcode_$50:5; unknown_opcode_$8D:1
15,EventScriptGroup_15,$B48C25,$B4,16,2,18,9.0,16,2,"objeto_cc, transicao_tela, player_anim",script_control:5 screen_transition:4 player_camera_motion:2 flags_values:2 cc_state_object:2 unknown:2 special_unknown:1,$09:3 $08:2 $11:2 $0C:2 $05:1 $07:1 $38:1 $13:1 $12:1 $1A:1 $1F:1 $7B:1,$05:1 $58:1,unknown_opcode_$7B:1; unknown_opcode_$58:1
16,EventScriptGroup_16,$B48D38,$B4,16,2,3,1.5,2,1,controle_basico,script_control:1 cc_state_object:1 unknown:1,$50:1 $25:1 $C5:1,$50:1 $25:1,stop_or_wait_opcode_$50:1; unknown_opcode_$C5:1
17,EventScriptGroup_17,$B48E05,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $E5:1,$00:1 $E5:1,unknown_opcode_$B4:1; unknown_opcode_$E5:1
18,EventScriptGroup_18,$B48EC5,$B4,16,2,4,2.0,3,1,objeto_cc,script_control:2 special_unknown:1 unknown:1,$09:1 $38:1 $10:1 $B5:1,$09:1 $B5:1,stop_or_wait_opcode_$10:1; unknown_opcode_$B5:1
19,EventScriptGroup_19,$B48F95,$B4,16,3,3,1.0,2,1,controle_basico,script_control:2 unknown:1,$50:2 $F3:1,$50:2 $F3:1,stop_or_wait_opcode_$50:2; unknown_opcode_$F3:1
1A,EventScriptGroup_1A,$B490D3,$B4,16,3,3,1.0,2,1,controle_basico,script_control:2 unknown:1,$50:2 $D3:1,$50:2 $D3:1,stop_or_wait_opcode_$50:2; unknown_opcode_$D3:1
1B,EventScriptGroup_1B,$B491B3,$B4,16,3,4,1.33,2,2,audio,unknown:2 script_control:1 audio:1,$50:1 $00:1 $B4:1 $F2:1,$50:1 $00:1 $F2:1,stop_or_wait_opcode_$50:1; unknown_opcode_$B4:1; unknown_opcode_$F2:1
1C,EventScriptGroup_1C,$B492D2,$B4,16,4,5,1.25,3,2,audio,script_control:2 unknown:2 audio:1,$50:2 $00:1 $B4:1 $5C:1,$50:2 $00:1 $5C:1,stop_or_wait_opcode_$50:2; unknown_opcode_$B4:1; unknown_opcode_$5C:1
1D,EventScriptGroup_1D,$B4943C,$B4,16,5,10,2.0,9,1,objeto_cc,script_control:8 special_unknown:1 unknown:1,$09:4 $50:3 $38:1 $10:1 $9A:1,$50:3 $09:1 $9A:1,stop_or_wait_opcode_$50:3; stop_or_wait_opcode_$10:1; unknown_opcode_$9A:1
1E,EventScriptGroup_1E,$B4967A,$B4,16,2,2,1.0,1,1,controle_basico,script_control:1 unknown:1,$50:1 $5F:1,$50:1 $5F:1,stop_or_wait_opcode_$50:1; unknown_opcode_$5F:1
1F,EventScriptGroup_1F,$B49A3F,$B4,16,4,4,1.0,3,1,controle_basico,script_control:3 unknown:1,$50:3 $51:1,$50:3 $51:1,stop_or_wait_opcode_$50:3; unknown_opcode_$51:1
20,EventScriptGroup_20,$B49E31,$B4,16,2,3,1.5,2,1,controle_basico,script_control:1 special_unknown:1 unknown:1,$50:1 $33:1 $9F:1,$50:1 $33:1,stop_or_wait_opcode_$50:1; unknown_opcode_$9F:1
21,EventScriptGroup_21,$B49F13,$B4,16,2,3,1.5,2,1,objeto_cc,script_control:2 unknown:1,$09:1 $10:1 $F8:1,$09:1 $F8:1,stop_or_wait_opcode_$10:1; unknown_opcode_$F8:1
22,EventScriptGroup_22,$B49FD8,$B4,16,14,14,1.0,13,1,controle_basico,script_control:13 unknown:1,$50:13 $9F:1,$50:13 $9F:1,stop_or_wait_opcode_$50:13; unknown_opcode_$9F:1
23,EventScriptGroup_23,$B4A37F,$B4,16,2,10,5.0,9,1,"objeto_cc, transicao_tela, audio",script_control:4 screen_transition:2 special_unknown:1 audio:1 flags_values:1 unknown:1,$09:3 $08:1 $38:1 $2C:1 $0C:1 $11:1 $10:1 $75:1,$09:1 $75:1,stop_or_wait_opcode_$10:1; unknown_opcode_$75:1
24,EventScriptGroup_24,$B4A455,$B4,16,5,25,5.0,20,5,"objeto_cc, transicao_tela",cc_state_object:8 unknown:5 screen_transition:4 special_unknown:4 time_rng_palette:4,$08:4 $1A:4 $38:4 $3A:4 $03:4 $5F:2 $7B:1 $9B:1 $D5:1,$08:4 $D5:1,unknown_opcode_$5F:2; unknown_opcode_$7B:1; unknown_opcode_$9B:1; unknown_opcode_$D5:1
25,EventScriptGroup_25,$B4A5B5,$B4,16,2,12,6.0,11,1,"objeto_cc, transicao_tela, player_anim",player_camera_motion:2 screen_transition:2 script_control:2 flags_values:2 time_rng_palette:1 special_unknown:1 cc_state_object:1 unknown:1,$02:1 $05:1 $07:1 $08:1 $09:1 $38:1 $0B:1 $0C:1 $11:1 $10:1 $2D:1 $B6:1,$02:1 $2D:1,stop_or_wait_opcode_$10:1; unknown_opcode_$B6:1
26,EventScriptGroup_26,$B4A60D,$B4,16,3,5,1.67,3,2,objeto_cc,cc_state_object:2 unknown:2 script_control:1,$4F:2 $51:1 $50:1 $7E:1,$4F:2 $7E:1,unknown_opcode_$51:1; stop_or_wait_opcode_$50:1; unknown_opcode_$7E:1
27,EventScriptGroup_27,$B4B65E,$B4,16,5,9,1.8,8,1,objeto_cc,cc_state_object:4 script_control:4 unknown:1,$4F:4 $50:4 $EB:1,$4F:4 $EB:1,stop_or_wait_opcode_$50:4; unknown_opcode_$EB:1
28,EventScriptGroup_28,$B4BACB,$B4,16,5,10,2.0,9,1,"flags_memoria, objeto_cc",cc_state_object:4 script_control:4 flags_values:1 unknown:1,$4F:4 $50:4 $47:1 $C4:1,$4F:4 $47:1,stop_or_wait_opcode_$50:4; unknown_opcode_$C4:1
29,EventScriptGroup_29,$B4C427,$B4,16,2,4,2.0,3,1,objeto_cc,script_control:2 special_unknown:1 unknown:1,$09:1 $38:1 $10:1 $D8:1,$09:1 $D8:1,stop_or_wait_opcode_$10:1; unknown_opcode_$D8:1
2A,EventScriptGroup_2A,$B4C4B8,$B4,16,2,14,7.0,13,1,"flags_memoria, objeto_cc",cc_state_object:5 script_control:3 unknown:3 special_unknown:1 time_rng_palette:1 flags_values:1,$1B:3 $13:2 $0D:2 $1A:1 $37:1 $41:1 $10:1 $24:1 $48:1 $C5:1,$1A:1 $24:1,stop_or_wait_opcode_$10:1; unknown_opcode_$C5:1
2B,EventScriptGroup_2B,$B4C504,$B4,16,2,10,5.0,9,1,objeto_cc,cc_state_object:3 script_control:3 unknown:3 special_unknown:1,$13:2 $0D:2 $1A:1 $1B:1 $37:1 $41:1 $10:1 $68:1,$1A:1 $68:1,stop_or_wait_opcode_$10:1; unknown_opcode_$68:1
2C,EventScriptGroup_2C,$B4C548,$B4,16,2,8,4.0,7,1,objeto_cc,cc_state_object:3 script_control:2 unknown:2 special_unknown:1,$1A:1 $13:1 $1B:1 $0D:1 $37:1 $41:1 $10:1 $A4:1,$1A:1 $A4:1,stop_or_wait_opcode_$10:1; unknown_opcode_$A4:1
2D,EventScriptGroup_2D,$B4C584,$B4,16,2,21,10.5,20,1,"flags_memoria, objeto_cc, transicao_tela, player_anim",unknown:12 script_control:4 player_camera_motion:1 screen_transition:1 special_unknown:1 cc_state_object:1 conditional:1,$0D:11 $12:2 $07:1 $09:1 $11:1 $38:1 $13:1 $1A:1 $14:1 $C6:1,$07:1 $14:1,next_entry_boundary:1; unknown_opcode_$C6:1
2E,EventScriptGroup_2E,$B4C5F4,$B4,16,2,4,2.0,2,2,"transicao_tela, audio",unknown:2 audio:1 screen_transition:1,$00:1 $B4:1 $11:1 $C7:1,$00:1 $11:1,unknown_opcode_$B4:1; unknown_opcode_$C7:1
2F,EventScriptGroup_2F,$B4C6F1,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $E3:1,$00:1 $E3:1,unknown_opcode_$B4:1; unknown_opcode_$E3:1
30,EventScriptGroup_30,$B4C7C3,$B4,16,2,19,9.5,17,2,"audio, item_dinheiro, player_anim",items_money:14 audio:2 unknown:2 player_camera_motion:1,$3F:14 $00:2 $B4:2 $19:1,$00:1 $19:1,unknown_opcode_$B4:2
31,EventScriptGroup_31,$B4C9F9,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $5F:1,$00:1 $5F:1,unknown_opcode_$B4:1; unknown_opcode_$5F:1
32,EventScriptGroup_32,$B4CB3F,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $76:1,$00:1 $76:1,unknown_opcode_$B4:1; unknown_opcode_$76:1
33,EventScriptGroup_33,$B4CD56,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $EA:1,$00:1 $EA:1,unknown_opcode_$B4:1; unknown_opcode_$EA:1
34,EventScriptGroup_34,$B4CECA,$B4,16,2,6,3.0,4,2,"flags_memoria, audio, animal",flags_values:2 unknown:2 audio:1 animals:1,$47:2 $00:1 $B4:1 $31:1 $D0:1,$47:1 $31:1,unknown_opcode_$B4:1; unknown_opcode_$D0:1
35,EventScriptGroup_35,$B4D011,$B4,16,2,4,2.0,2,2,"flags_memoria, audio",unknown:2 flags_values:1 audio:1,$47:1 $00:1 $B4:1 $80:1,$47:1 $80:1,unknown_opcode_$B4:1; unknown_opcode_$80:1
36,EventScriptGroup_36,$B4D160,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $EC:1,$00:1 $EC:1,unknown_opcode_$B4:1; unknown_opcode_$EC:1
37,EventScriptGroup_37,$B4D2CC,$B4,16,2,5,2.5,3,2,"flags_memoria, audio",flags_values:2 unknown:2 audio:1,$47:2 $00:1 $B4:1 $67:1,$47:1 $67:1,unknown_opcode_$B4:1; unknown_opcode_$67:1
38,EventScriptGroup_38,$B4D447,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $51:1,$00:1 $51:1,unknown_opcode_$B4:1; unknown_opcode_$51:1
39,EventScriptGroup_39,$B4D531,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $92:1,$00:1 $92:1,unknown_opcode_$B4:1; unknown_opcode_$92:1
3A,EventScriptGroup_3A,$B4D772,$B4,16,3,6,2.0,3,3,"audio, item_dinheiro",unknown:3 audio:2 items_money:1,$00:2 $B4:2 $42:1 $DC:1,$00:2 $42:1,unknown_opcode_$B4:2; unknown_opcode_$DC:1
3B,EventScriptGroup_3B,$B4DA22,$B4,16,3,5,1.67,2,3,audio,unknown:3 audio:2,$00:2 $B4:2 $ED:1,$00:2 $ED:1,unknown_opcode_$B4:2; unknown_opcode_$ED:1
3C,EventScriptGroup_3C,$B4DCCD,$B4,16,3,5,1.67,2,3,audio,unknown:3 audio:2,$B4:3 $00:2,$00:2 $B4:1,unknown_opcode_$B4:3
3D,EventScriptGroup_3D,$B4DF94,$B4,16,3,6,2.0,3,3,audio,unknown:3 audio:2 script_control:1,$00:2 $B4:2 $20:1 $FF:1,$00:2 $20:1,unknown_opcode_$B4:2; unknown_opcode_$FF:1
3E,EventScriptGroup_3E,$B4E200,$B4,16,2,4,2.0,2,2,"objeto_cc, audio",unknown:2 audio:1 cc_state_object:1,$00:1 $B4:1 $1F:1 $E4:1,$00:1 $1F:1,unknown_opcode_$B4:1; unknown_opcode_$E4:1
3F,EventScriptGroup_3F,$B4E3FF,$B4,16,2,4,2.0,2,2,"flags_memoria, audio",unknown:2 audio:1 conditional:1,$00:1 $B4:1 $14:1 $E7:1,$00:1 $14:1,unknown_opcode_$B4:1; unknown_opcode_$E7:1
40,EventScriptGroup_40,$B4E5F4,$B4,16,2,3,1.5,1,2,audio,unknown:2 audio:1,$00:1 $B4:1 $CF:1,$00:1 $CF:1,unknown_opcode_$B4:1; unknown_opcode_$CF:1
41,EventScriptGroup_41,$B4E7AF,$B4,16,2,4,2.0,2,2,"flags_memoria, audio",unknown:2 flags_values:1 audio:1,$47:1 $00:1 $B4:1 $A9:1,$47:1 $A9:1,unknown_opcode_$B4:1; unknown_opcode_$A9:1
42,EventScriptGroup_42,$B4E989,$B4,16,3,100,33.33,98,2,audio,audio:98 unknown:2,$00:98 $B4:2,$00:3,unknown_opcode_$B4:2; max_commands:1
43,EventScriptGroup_43,$B58000,$B5,16,6,174,29.0,168,6,"dialogo, flags_memoria, objeto_cc, transicao_tela",conditional:64 cc_state_object:45 script_control:36 flags_values:10 dialog_text:10 unknown:6 time_rng_palette:1 special_unknown:1,$12:36 $14:28 $1A:20 $15:15 $41:14 $16:10 $23:10 $1C:10 $45:6 $2D:5 $1F:5 $43:5,$14:5 $F1:1,unknown_opcode_$CD:1; unknown_opcode_$83:1; unknown_opcode_$68:1; unknown_opcode_$55:1; unknown_opcode_$C4:1; unknown_opcode_$F1:1
44,EventScriptGroup_44,$B597D1,$B5,16,6,482,80.33,481,1,"dialogo, flags_memoria, objeto_cc, player_anim",conditional:172 script_control:126 dialog_text:113 cc_state_object:54 time_rng_palette:15 player_camera_motion:1 unknown:1,$12:123 $1C:113 $15:67 $14:45 $41:39 $16:25 $45:20 $17:15 $18:15 $1A:10 $2D:5 $09:3,$14:4 $15:1 $05:1,max_commands:5; unknown_opcode_$A4:1
45,EventScriptGroup_45,$B5A1E5,$B5,16,7,146,20.86,143,3,"dialogo, flags_memoria, objeto_cc",conditional:50 script_control:50 cc_state_object:20 dialog_text:18 time_rng_palette:4 unknown:3 flags_values:1,$12:44 $14:24 $1C:18 $45:8 $1A:8 $18:8 $16:6 $15:4 $22:4 $2D:4 $41:4 $17:4,$45:4 $14:2 $23:1,stop_or_wait_opcode_$10:4; unknown_opcode_$52:1; unknown_opcode_$53:1; unknown_opcode_$A7:1
46,EventScriptGroup_46,$B5A703,$B5,16,14,27,1.93,13,14,audio,unknown:14 audio:13,$00:13 $B4:13 $AE:1,$00:13 $AE:1,unknown_opcode_$B4:13; unknown_opcode_$AE:1
47,EventScriptGroup_47,$B5AC6E,$B5,32,31,83,2.68,53,30,"flags_memoria, audio",unknown:30 flags_values:29 audio:23 script_control:1,$23:23 $00:23 $B4:23 $58:7 $47:6 $10:1,$23:20 $58:7 $47:3 $10:1,unknown_opcode_$B4:23; unknown_opcode_$58:7; stop_or_wait_opcode_$10:1
