visual_or_object_ref,pass83_ref_class,pass84_resolution_class,pass84_confidence,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,gobj_id_matches,anim_sequence_matches,source_address_matches,groups,domains,roles,example_entries,pass86_semantic_alias,pass86_resolution_class,pass86_alias_confidence,pass86_resolution_note
$86F0,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_86F0_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,5,cow_livestock,,,$8186F0:<data>:src/code_banks/bank_81.asm:890 | $8686F0:<data>:src/data_banks/bank_86.asm:117 | $8786F0:<data>:src/data_banks/bank_87.asm:116 | $8886F0:<data>:src/data_banks/bank_88.asm:115 | $8986F0:<data>:src/data_banks/bank_89.asm:115,$00:5,general_livestock_visual_context:4 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:5,$00:8@$B38D2C $00:130@$B392DF $00:131@$B392EC $00:132@$B392F9 $00:133@$B39306,SourceLineRef_cow_livestock_86F0_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B392,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B392_code_banks_bank_84_data_banks_bank_B6,context_source_address_not_final_gobj,medium,5,general_livestock,,,$84B392:<data>:src/code_banks/bank_84.asm:7077 | $B6B392:<data>:src/data_banks/bank_B6.asm:943,$00:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$00:124@$B3922A $00:126@$B39250 $00:126@$B39250 $00:126@$B39250 $00:126@$B39250,SourceLineRef_general_livestock_B392_code_banks_bank_84_data_banks_bank_B6,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B39F,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B39F_code_banks_bank_84,context_source_address_not_final_gobj,medium,5,general_livestock,,,$84B39F:<data>:src/code_banks/bank_84.asm:7085,$01:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E $01:2@$B39F3E,SourceLineRef_general_livestock_B39F_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3A0,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3A0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,5,npc_family_or_romance,,,$86B3A0:<data>:src/data_banks/bank_86.asm:832 | $87B3A0:<data>:src/data_banks/bank_87.asm:831 | $88B3A0:<data>:src/data_banks/bank_88.asm:830 | $89B3A0:<data>:src/data_banks/bank_89.asm:830 | $8AB3A0:<data>:src/data_banks/bank_8A.asm:830,$01:5,npc_family_event_visual_context:5,cc_object_visual_pointer_setup:5,$01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086 $01:3@$B3A086,SourceLineRef_npc_family_or_romance_B3A0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3B4,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3B4_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,5,npc_family_or_romance,,,$82B3B4:TilePropertyRuleset_00_FarmSeasonalOutdoor:src/code_banks/bank_82.asm:3946 | $ADB3B4:<data>:src/data_banks/bank_AD.asm:833 | $B8B3B4:<data>:src/data_banks/bank_B8.asm:984 | $B9B3B4:<data>:src/data_banks/bank_B9.asm:980 | $BAB3B4:<data>:src/data_banks/bank_BA.asm:988,$02:5,npc_family_event_visual_context:5,cc_object_visual_pointer_setup:5,$02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A $02:1@$B3B44A,SourceLineRef_npc_family_or_romance_B3B4_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B589,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B589_code_banks_bank_84,context_source_address_not_final_gobj,medium,5,dog_pet,,,$84B589:<data>:src/code_banks/bank_84.asm:7347,$43:5,general_livestock_visual_context:4 dog_pet_visual_context:1,cc_object_visual_pointer_setup:5,$43:1@$B584DA $43:2@$B58990 $43:2@$B58990 $43:2@$B58990 $43:2@$B58990,SourceLineRef_dog_pet_B589_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B58E,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B58E_code_banks_bank_84_data_banks_bank_B5,context_source_address_not_final_gobj,medium,5,dog_pet,,,$84B58E:<data>:src/code_banks/bank_84.asm:7350 | $B5B58E:<data>:src/data_banks/bank_B5.asm:868,$43:5,dog_pet_visual_context:4 general_livestock_visual_context:1,cc_object_visual_pointer_setup:5,$43:2@$B58990 $43:3@$B58E4E $43:3@$B58E4E $43:3@$B58E4E $43:3@$B58E4E,SourceLineRef_dog_pet_B58E_code_banks_bank_84_data_banks_bank_B5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B593,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B593_code_banks_bank_81_code_banks_bank_84,context_source_address_not_final_gobj,medium,5,dog_pet,,,$81B593:<data>:src/code_banks/bank_81.asm:5327 | $84B593:<data>:src/code_banks/bank_84.asm:7356 | $B3B593:<data>:src/data_banks/bank_B3.asm:926,$43:5,dog_pet_visual_context:5,cc_object_visual_pointer_setup:5,$43:3@$B58E4E $43:4@$B59313 $43:4@$B59313 $43:4@$B59313 $43:4@$B59313,SourceLineRef_dog_pet_B593_code_banks_bank_81_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B59B,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B59B_code_banks_bank_84,context_source_address_not_final_gobj,medium,5,general_livestock,,,$84B59B:<data>:src/code_banks/bank_84.asm:7360,$44:5,general_livestock_visual_context:5,cc_object_visual_pointer_setup:5,$44:1@$B599EB $44:1@$B599EB $44:1@$B599EB $44:1@$B599EB $44:1@$B599EB,SourceLineRef_general_livestock_B59B_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8504,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8504_data_banks_bank_AD,context_source_address_not_final_gobj,medium,4,general_livestock,,,$AD8504:<data>:src/data_banks/bank_AD.asm:86,$00:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$00:48@$B38FAF $00:48@$B38FAF $00:49@$B38FC3 $00:49@$B38FC3,SourceLineRef_general_livestock_8504_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
