visual_or_object_ref,pass83_ref_class,pass84_resolution_class,pass84_confidence,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,gobj_id_matches,anim_sequence_matches,source_address_matches,groups,domains,roles,example_entries,pass86_semantic_alias,pass86_resolution_class,pass86_alias_confidence,pass86_resolution_note
$8264,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_8264_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,2,dog_pet,,,$818264:<data>:src/code_banks/bank_81.asm:336 | $AD8264:<data>:src/data_banks/bank_AD.asm:44 | $B98264:<data>:src/data_banks/bank_B9.asm:48,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313,SourceLineRef_dog_pet_8264_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8300,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8300_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,2,general_livestock,,,$818300:<data>:src/code_banks/bank_81.asm:414 | $868300:<data>:src/data_banks/bank_86.asm:54 | $878300:<data>:src/data_banks/bank_87.asm:53 | $888300:<data>:src/data_banks/bank_88.asm:52 | $898300:<data>:src/data_banks/bank_89.asm:52,$01:1 $02:1,general_livestock_visual_context:1 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:2,$01:1@$B39D05 $02:1@$B3B44A,SourceLineRef_general_livestock_8300_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$83B4,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_83B4_data_banks_bank_AD,context_source_address_not_final_gobj,medium,2,general_livestock,,,$AD83B4:<data>:src/data_banks/bank_AD.asm:65,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:124@$B3922A $00:125@$B39241,SourceLineRef_general_livestock_83B4_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$849F,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_general_livestock_849F,manual_asset_table_decode_needed,low,2,general_livestock,,,,$01:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$01:2@$B39F3E $01:2@$B39F3E,CCVisualPtr_general_livestock_849F,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$86B4,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_86B4_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,2,cow_livestock,,,$AD86B4:<data>:src/data_banks/bank_AD.asm:113 | $B986B4:<data>:src/data_banks/bank_B9.asm:124,$00:2,cow_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:4@$B38CF8 $00:47@$B38FA2,SourceLineRef_cow_livestock_86B4_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$86CC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_86CC_code_banks_bank_81_data_banks_bank_B8,context_source_address_not_final_gobj,medium,2,cow_livestock,,,$8186CC:<data>:src/code_banks/bank_81.asm:877 | $B886CC:<data>:src/data_banks/bank_B8.asm:143 | $BB86CC:<data>:src/data_banks/bank_BB.asm:130,$00:2,cow_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:3@$B38CEB $00:23@$B38DFC,SourceLineRef_cow_livestock_86CC_code_banks_bank_81_data_banks_bank_B8,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$86D8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_86D8_data_banks_bank_B3,context_source_address_not_final_gobj,medium,2,cow_livestock,,,$B386D8:<data>:src/data_banks/bank_B3.asm:174,$00:2,cow_livestock_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$00:7@$B38D1F $00:108@$B391CA,SourceLineRef_cow_livestock_86D8_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8708,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_8708_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,2,cow_livestock,,,$818708:<data>:src/code_banks/bank_81.asm:903 | $B38708:<data>:src/data_banks/bank_B3.asm:177 | $B88708:<data>:src/data_banks/bank_B8.asm:148,$00:2,cow_livestock_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$00:6@$B38D12 $00:112@$B391E2,SourceLineRef_cow_livestock_8708_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$872C,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_872C_code_banks_bank_81_data_banks_bank_B6,context_source_address_not_final_gobj,medium,2,cow_livestock,,,$81872C:<data>:src/code_banks/bank_81.asm:917 | $B6872C:<data>:src/data_banks/bank_B6.asm:134,$00:2,cow_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:9@$B38D39 $00:9@$B38D39,SourceLineRef_cow_livestock_872C_code_banks_bank_81_data_banks_bank_B6,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$87C8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_87C8_data_banks_bank_B3_data_banks_bank_B4,context_source_address_not_final_gobj,medium,2,general_livestock,,,$B387C8:<data>:src/data_banks/bank_B3.asm:189 | $B487C8:<data>:src/data_banks/bank_B4.asm:131,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:126@$B39250 $00:127@$B392B3,SourceLineRef_general_livestock_87C8_data_banks_bank_B3_data_banks_bank_B4,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$88AC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_88AC_code_banks_bank_83_data_banks_bank_B8,context_source_address_not_final_gobj,medium,2,cow_livestock,,,$B988AC:<data>:src/code_banks/bank_83.asm:4121 | $B888AC:<data>:src/data_banks/bank_B8.asm:184 | $B988AC:Text_297_Romance_LoveMyWifesCakeBut:src/data_banks/bank_B9.asm:163,$00:2,cow_livestock_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$00:47@$B38FA2 $00:88@$B390FF,SourceLineRef_cow_livestock_88AC_code_banks_bank_83_data_banks_bank_B8,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$88DC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_88DC_data_banks_bank_B8_data_banks_bank_B9,context_source_address_not_final_gobj,medium,2,general_livestock,,,$B888DC:<data>:src/data_banks/bank_B8.asm:187 | $B988DC:<data>:src/data_banks/bank_B9.asm:166,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:89@$B39105 $00:121@$B39218,SourceLineRef_general_livestock_88DC_data_banks_bank_B8_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8900,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_8900_code_banks_bank_83_data_banks_bank_86,context_source_address_not_final_gobj,medium,2,cow_livestock,,,$B78900:<data>:src/code_banks/bank_83.asm:3686 | $868900:<data>:src/data_banks/bank_86.asm:150 | $878900:<data>:src/data_banks/bank_87.asm:149 | $888900:<data>:src/data_banks/bank_88.asm:148 | $898900:<data>:src/data_banks/bank_89.asm:148,$00:2,cow_livestock_visual_context:1 general_livestock_visual_context:1,cc_object_visual_pointer_setup:2,$00:23@$B38DFC $00:91@$B39111,SourceLineRef_cow_livestock_8900_code_banks_bank_83_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B390,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B390_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,2,general_livestock,,,$86B390:<data>:src/data_banks/bank_86.asm:831 | $87B390:<data>:src/data_banks/bank_87.asm:830 | $88B390:<data>:src/data_banks/bank_88.asm:829 | $89B390:<data>:src/data_banks/bank_89.asm:829 | $8AB390:<data>:src/data_banks/bank_8A.asm:829,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:54@$B39001 $00:55@$B3900F,SourceLineRef_general_livestock_B390_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B393,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B393_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,2,dog_pet,,,$81B393:<data>:src/code_banks/bank_81.asm:5295 | $B3B393:<data>:src/data_banks/bank_B3.asm:894,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313,SourceLineRef_dog_pet_B393_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3DD,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3DD_data_banks_bank_B4,context_source_address_not_final_gobj,medium,2,npc_family_or_romance,,,$B4B3DD:<data>:src/data_banks/bank_B4.asm:867,$07:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$07:3@$B3DCD1 $07:3@$B3DCD1,SourceLineRef_npc_family_or_romance_B3DD_data_banks_bank_B4,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3E4,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3E4_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,2,npc_family_or_romance,,,$82B3E4:<data>:src/code_banks/bank_82.asm:3949 | $ADB3E4:<data>:src/data_banks/bank_AD.asm:836 | $B8B3E4:<data>:src/data_banks/bank_B8.asm:987 | $BAB3E4:<data>:src/data_banks/bank_BA.asm:991 | $BBB3E4:<data>:src/data_banks/bank_BB.asm:940,$08:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$08:5@$B3E4ED $08:5@$B3E4ED,SourceLineRef_npc_family_or_romance_B3E4_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B4C5,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B4C5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,2,npc_family_or_romance,,,$84B4C5:<data>:src/code_banks/bank_84.asm:7238 | $A5B4C5:<data>:src/data_banks/bank_A5.asm:850,$2D:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$2D:0@$B4C5A4 $2D:0@$B4C5A4,SourceLineRef_npc_family_or_romance_B4C5_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B585,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B585_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,2,dog_pet,,,$84B585:<data>:src/code_banks/bank_84.asm:7345 | $A5B585:<data>:src/data_banks/bank_A5.asm:862,$43:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$43:1@$B584DA $43:1@$B584DA,SourceLineRef_dog_pet_B585_code_banks_bank_84_data_banks_bank_A5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B5A5,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B5A5_data_banks_bank_A5,context_source_address_not_final_gobj,medium,2,npc_family_or_romance,,,$A5B5A5:<data>:src/data_banks/bank_A5.asm:864,$45:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$45:3@$B5A484 $45:3@$B5A484,SourceLineRef_npc_family_or_romance_B5A5_data_banks_bank_A5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$0801,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_0801,visual_param_not_final_gobj,medium,1,general_livestock,,,,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:26@$B38E33,VisualParam_general_livestock_0801,visual_param_not_final_gobj,medium,unchanged_from_pass85
$0C01,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_0C01,visual_param_not_final_gobj,medium,1,general_livestock,,,,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:1@$B39D05,VisualParam_general_livestock_0C01,visual_param_not_final_gobj,medium,unchanged_from_pass85
$0EE5,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_npc_family_or_romance_0EE5,visual_param_not_final_gobj,medium,1,npc_family_or_romance,,,,$08:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$08:5@$B3E4ED,VisualParam_npc_family_or_romance_0EE5,visual_param_not_final_gobj,medium,unchanged_from_pass85
$1020,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_1020,visual_param_not_final_gobj,medium,1,general_livestock,,,,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:1@$B39D05,VisualParam_general_livestock_1020,visual_param_not_final_gobj,medium,unchanged_from_pass85
$2001,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_2001,visual_param_not_final_gobj,medium,1,general_livestock,,,,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:24@$B38E09,VisualParam_general_livestock_2001,visual_param_not_final_gobj,medium,unchanged_from_pass85
$2DD9,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_2DD9,visual_param_not_final_gobj,medium,1,general_livestock,,,,$06:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$06:5@$B3D90E,VisualParam_general_livestock_2DD9,visual_param_not_final_gobj,medium,unchanged_from_pass85
$31DF,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_31DF,visual_param_not_final_gobj,medium,1,general_livestock,,,,$07:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$07:5@$B3DF0F,VisualParam_general_livestock_31DF,visual_param_not_final_gobj,medium,unchanged_from_pass85
$3801,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_3801,visual_param_not_final_gobj,medium,1,general_livestock,,,,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:25@$B38E1E,VisualParam_general_livestock_3801,visual_param_not_final_gobj,medium,unchanged_from_pass85
$489D,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_489D,visual_param_not_final_gobj,medium,1,general_livestock,,,,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:1@$B39D05,VisualParam_general_livestock_489D,visual_param_not_final_gobj,medium,unchanged_from_pass85
$4BE3,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_npc_family_or_romance_4BE3,visual_param_not_final_gobj,medium,1,npc_family_or_romance,,,,$08:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$08:3@$B3E31F,VisualParam_npc_family_or_romance_4BE3,visual_param_not_final_gobj,medium,unchanged_from_pass85
$4FAD,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_general_livestock_4FAD,visual_param_not_final_gobj,medium,1,general_livestock,,,,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:9@$B3AD24,VisualParam_general_livestock_4FAD,visual_param_not_final_gobj,medium,unchanged_from_pass85
$59A7,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_cow_livestock_59A7,visual_param_not_final_gobj,medium,1,cow_livestock,,,,$01:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:7@$B3A727,VisualParam_cow_livestock_59A7,visual_param_not_final_gobj,medium,unchanged_from_pass85
$59E0,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_npc_family_or_romance_59E0,visual_param_not_final_gobj,medium,1,npc_family_or_romance,,,,$07:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$07:7@$B3E037,VisualParam_npc_family_or_romance_59E0,visual_param_not_final_gobj,medium,unchanged_from_pass85
$73B4,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_npc_family_or_romance_73B4,visual_param_not_final_gobj,medium,1,npc_family_or_romance,,,,$02:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$02:1@$B3B44A,VisualParam_npc_family_or_romance_73B4,visual_param_not_final_gobj,medium,unchanged_from_pass85
$7DE5,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_cow_livestock_7DE5,visual_param_not_final_gobj,medium,1,cow_livestock,,,,$08:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$08:6@$B3E560,VisualParam_cow_livestock_7DE5,visual_param_not_final_gobj,medium,unchanged_from_pass85
$8108,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_8108_data_banks_bank_B3_data_banks_bank_B6,context_source_address_not_final_gobj,medium,1,cow_livestock,,,$B38108:<data>:src/data_banks/bank_B3.asm:81 | $B68108:<data>:src/data_banks/bank_B6.asm:23,$00:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:5@$B38D05,SourceLineRef_cow_livestock_8108_data_banks_bank_B3_data_banks_bank_B6,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8120,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_8120_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,dog_pet,,,$868120:<data>:src/data_banks/bank_86.asm:24 | $878120:<data>:src/data_banks/bank_87.asm:23 | $888120:<data>:src/data_banks/bank_88.asm:22 | $898120:<data>:src/data_banks/bank_89.asm:22 | $8A8120:<data>:src/data_banks/bank_8A.asm:22,$00:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$00:17@$B38D9B,SourceLineRef_dog_pet_8120_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8138,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8138_code_banks_bank_83_code_banks_bank_83,context_source_address_not_final_gobj,medium,1,general_livestock,,,$838138:RNG_GetNextByte:src/code_banks/bank_83.asm:194 | $B98138:<data>:src/code_banks/bank_83.asm:4110 | $B38138:<data>:src/data_banks/bank_B3.asm:84 | $B68138:<data>:src/data_banks/bank_B6.asm:26 | $B98138:Text_28C_Romance_NeverCancelChooseCarefullyRegret:src/data_banks/bank_B9.asm:28,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:16@$B38D8E,SourceLineRef_general_livestock_8138_code_banks_bank_83_code_banks_bank_83,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$815C,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_chicken_poultry_815C_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,chicken_poultry,,,$81815C:<data>:src/code_banks/bank_81.asm:196,$00:1,chicken_poultry_visual_context:1,cc_object_visual_pointer_setup:1,$00:0@$B38CC8,SourceLineRef_chicken_poultry_815C_code_banks_bank_81,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$82A0,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_82A0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8682A0:<data>:src/data_banks/bank_86.asm:48 | $8782A0:<data>:src/data_banks/bank_87.asm:47 | $8882A0:<data>:src/data_banks/bank_88.asm:46 | $8982A0:<data>:src/data_banks/bank_89.asm:46 | $8A82A0:<data>:src/data_banks/bank_8A.asm:46,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:38@$B38F11,SourceLineRef_general_livestock_82A0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$82AC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_82AC_code_banks_bank_81_code_banks_bank_82,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8182AC:<data>:src/code_banks/bank_81.asm:372 | $8282AC:DayCycle_NightResetAdvanceDate:src/code_banks/bank_82.asm:373 | $B882AC:<data>:src/data_banks/bank_B8.asm:57,$24:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$24:0@$B4A475,SourceLineRef_general_livestock_82AC_code_banks_bank_81_code_banks_bank_82,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8330,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_8330_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,dog_pet,,,$868330:<data>:src/data_banks/bank_86.asm:57 | $878330:<data>:src/data_banks/bank_87.asm:56 | $888330:<data>:src/data_banks/bank_88.asm:55 | $898330:<data>:src/data_banks/bank_89.asm:55 | $8A8330:<data>:src/data_banks/bank_8A.asm:55,$01:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$01:5@$B3A438,SourceLineRef_dog_pet_8330_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$83FC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_83FC_data_banks_bank_B7_data_banks_bank_BB,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,,,$B783FC:<data>:src/data_banks/bank_B7.asm:79 | $BB83FC:<data>:src/data_banks/bank_BB.asm:73,$01:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$01:3@$B3A086,SourceLineRef_npc_family_or_romance_83FC_data_banks_bank_B7_data_banks_bank_BB,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$84C8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_84C8_data_banks_bank_B3_data_banks_bank_B8,context_source_address_not_final_gobj,medium,1,cow_livestock,,,$B384C8:<data>:src/data_banks/bank_B3.asm:141 | $B884C8:<data>:src/data_banks/bank_B8.asm:103,$01:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:10@$B3ADB1,SourceLineRef_cow_livestock_84C8_data_banks_bank_B3_data_banks_bank_B8,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$84EC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_84EC_data_banks_bank_B9_data_banks_bank_BB,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,,,$B984EC:<data>:src/data_banks/bank_B9.asm:92 | $BB84EC:<data>:src/data_banks/bank_BB.asm:88,$2D:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2D:0@$B4C5A4,SourceLineRef_npc_family_or_romance_84EC_data_banks_bank_B9_data_banks_bank_BB,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$84F8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_84F8_data_banks_bank_B3_data_banks_bank_B8,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B384F8:<data>:src/data_banks/bank_B3.asm:144 | $B884F8:<data>:src/data_banks/bank_B8.asm:106,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:50@$B38FD0,SourceLineRef_general_livestock_84F8_data_banks_bank_B3_data_banks_bank_B8,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$86E4,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_86E4_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,1,cow_livestock,,,$AD86E4:<data>:src/data_banks/bank_AD.asm:116 | $B986E4:<data>:src/data_banks/bank_B9.asm:127,$00:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:7@$B38D1F,SourceLineRef_cow_livestock_86E4_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$86FC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_86FC_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,cow_livestock,,,$8186FC:<data>:src/code_banks/bank_81.asm:896,$00:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:8@$B38D2C,SourceLineRef_cow_livestock_86FC_code_banks_bank_81,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8714,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_8714_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,1,cow_livestock,,,$AD8714:<data>:src/data_banks/bank_AD.asm:119 | $B98714:<data>:src/data_banks/bank_B9.asm:130 | $BB8714:<data>:src/data_banks/bank_BB.asm:138,$00:1,cow_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:6@$B38D12,SourceLineRef_cow_livestock_8714_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8744,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8744_data_banks_bank_AD_data_banks_bank_B8,context_source_address_not_final_gobj,medium,1,general_livestock,,,$AD8744:<data>:src/data_banks/bank_AD.asm:122 | $B88744:<data>:src/data_banks/bank_B8.asm:153,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:52@$B38FE8,SourceLineRef_general_livestock_8744_data_banks_bank_AD_data_banks_bank_B8,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8774,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8774_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,,,$AD8774:<data>:src/data_banks/bank_AD.asm:125,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:19@$B38DBC,SourceLineRef_general_livestock_8774_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
