group,label,entry,script_target,command_index,command_addr,opcode,relation,symbol,bit_or_value,extra
$02,EventScriptGroup_02,0,$B3AE23,18,$B3AE6C,$16,read_condition,$7F1F1C,between_$11_$12,
$02,EventScriptGroup_02,0,$B3AE23,24,$B3AE8E,$1C,dialog_text_id,Text_$01CA,mode_$00,
$02,EventScriptGroup_02,0,$B3AE23,26,$B3AE95,$16,read_condition,$80091E,between_$09_$0C,
$02,EventScriptGroup_02,0,$B3AE23,27,$B3AE9D,$1C,dialog_text_id,Text_$0200,mode_$00,
$02,EventScriptGroup_02,0,$B3AE23,29,$B3AEA4,$1C,dialog_text_id,Text_$0049,mode_$00,
$02,EventScriptGroup_02,0,$B3AE23,31,$B3AEAB,$16,read_condition,$7F1F1C,between_$07_$10,
$02,EventScriptGroup_02,0,$B3AE23,32,$B3AEB3,$16,read_condition,$7F1F1C,between_$11_$12,
$02,EventScriptGroup_02,1,$B3B44A,9,$B3B46C,$1C,dialog_text_id,Text_$01C9,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,11,$B3B473,$16,read_condition,$80091E,between_$09_$0C,
$02,EventScriptGroup_02,1,$B3B44A,12,$B3B47B,$1C,dialog_text_id,Text_$0200,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,14,$B3B482,$1C,dialog_text_id,Text_$03B8,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,16,$B3B489,$14,read_condition,$7F1F6A,bit_$0C,
$02,EventScriptGroup_02,1,$B3B44A,17,$B3B490,$1C,dialog_text_id,Text_$0038,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,19,$B3B497,$1C,dialog_text_id,Text_$01CD,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,25,$B3B4B1,$1C,dialog_text_id,Text_$01C6,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,27,$B3B4B8,$16,read_condition,$80091E,between_$09_$0C,
$02,EventScriptGroup_02,1,$B3B44A,28,$B3B4C0,$1C,dialog_text_id,Text_$0200,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,30,$B3B4C7,$1C,dialog_text_id,Text_$03B9,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,32,$B3B4CE,$14,read_condition,$7F1F6A,bit_$0C,
$02,EventScriptGroup_02,1,$B3B44A,33,$B3B4D5,$1C,dialog_text_id,Text_$003D,mode_$00,
$02,EventScriptGroup_02,1,$B3B44A,35,$B3B4DC,$1C,dialog_text_id,Text_$01CE,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,6,$B3B4F5,$14,read_condition,$7F1F66,bit_$00,
