group,group_start,hard_group_end,commands_or_markers,pass73_residuals,cross_group_artifacts,true_in_group_residuals,pass74_effective_known_percent,status
$1D,$B4943C,$B4967A,21,12,12,0,100.000,closed_after_boundary_overlay
$1E,$B4967A,$B49A3F,16,15,15,0,100.000,closed_after_boundary_overlay
$1F,$B49A3F,$B49E31,29,13,13,0,100.000,closed_after_boundary_overlay
$20,$B49E31,$B49F13,31,15,15,0,100.000,closed_after_boundary_overlay
$21,$B49F13,$B49FD8,17,15,15,0,100.000,closed_after_boundary_overlay
$22,$B49FD8,$B4A37F,16,3,3,0,100.000,closed_after_boundary_overlay
$23,$B4A37F,$B4A455,24,15,15,0,100.000,closed_after_boundary_overlay
$24,$B4A455,$B4A5B5,36,16,12,4,88.889,needs_manual_inline_trace
$25,$B4A5B5,$B4A60D,40,15,15,0,100.000,closed_after_boundary_overlay
$26,$B4A60D,$B4B65E,21,15,14,1,95.238,needs_manual_inline_trace
$27,$B4B65E,$B4BACB,20,12,12,0,100.000,closed_after_boundary_overlay
$28,$B4BACB,$B4C427,32,12,12,0,100.000,closed_after_boundary_overlay
$29,$B4C427,$B4C4B8,18,15,15,0,100.000,closed_after_boundary_overlay
$2A,$B4C4B8,$B4C504,56,15,15,0,100.000,closed_after_boundary_overlay
$2B,$B4C504,$B4C548,24,15,15,0,100.000,closed_after_boundary_overlay
$2C,$B4C548,$B4C584,22,15,15,0,100.000,closed_after_boundary_overlay
$2D,$B4C584,$B4C5F4,49,15,15,0,100.000,closed_after_boundary_overlay
$2E,$B4C5F4,$B4C6F1,32,16,15,1,96.875,needs_manual_inline_trace
$2F,$B4C6F1,$B4C7C3,17,16,15,1,94.118,needs_manual_inline_trace
$30,$B4C7C3,$B4C9F9,257,16,15,1,99.611,needs_manual_inline_trace
$31,$B4C9F9,$B4CB3F,17,16,15,1,94.118,needs_manual_inline_trace
$32,$B4CB3F,$B4CD56,17,16,15,1,94.118,needs_manual_inline_trace
$33,$B4CD56,$B4CECA,17,16,15,1,94.118,needs_manual_inline_trace
$34,$B4CECA,$B4D011,34,16,15,1,97.059,needs_manual_inline_trace
$35,$B4D011,$B4D160,18,16,15,1,94.444,needs_manual_inline_trace
$36,$B4D160,$B4D2CC,17,16,15,1,94.118,needs_manual_inline_trace
$37,$B4D2CC,$B4D447,19,16,15,1,94.737,needs_manual_inline_trace
$38,$B4D447,$B4D531,32,16,15,1,96.875,needs_manual_inline_trace
$39,$B4D531,$B4D772,17,16,15,1,94.118,needs_manual_inline_trace
$3A,$B4D772,$B4DA22,32,16,14,2,93.750,needs_manual_inline_trace
$3B,$B4DA22,$B4DCCD,18,16,14,2,88.889,needs_manual_inline_trace
$3C,$B4DCCD,$B4DF94,18,16,14,2,88.889,needs_manual_inline_trace
$3D,$B4DF94,$B4E200,32,16,14,2,93.750,needs_manual_inline_trace
$3E,$B4E200,$B4E3FF,32,16,15,1,96.875,needs_manual_inline_trace
$3F,$B4E3FF,$B4E5F4,32,16,15,1,96.875,needs_manual_inline_trace
$40,$B4E5F4,$B4E7AF,17,16,15,1,94.118,needs_manual_inline_trace
$41,$B4E7AF,$B4E989,18,16,15,1,94.444,needs_manual_inline_trace
$42,$B4E989,$B58000,1796,2,0,2,99.889,needs_manual_inline_trace
$43,$B58000,$B597D1,231,15,11,4,98.268,needs_manual_inline_trace
$44,$B597D1,$B5A1E5,523,11,11,0,100.000,closed_after_boundary_overlay
$45,$B5A1E5,$B5A703,166,10,10,0,100.000,closed_after_boundary_overlay
$46,$B5A703,$B5AC6E,29,16,3,13,55.172,needs_manual_inline_trace
$47,$B5AC6E,$B5FFFF,657,30,0,30,95.434,needs_manual_inline_trace
