old_label,new_label,file
CODE_83C0CF,Bank83_NpcSpriteLogicBranch_83C0CF,src/code_banks/bank_83.asm
CODE_83C0E5,Bank83_NpcSpriteLogicBranch_83C0E5,src/code_banks/bank_83.asm
CODE_83C119,Bank83_NpcSpriteLogicBranch_83C119,src/code_banks/bank_83.asm
CODE_83C125,Bank83_NpcSpriteLogicBranch_83C125,src/code_banks/bank_83.asm
CODE_83C12A,Bank83_NpcSpriteLogicBranch_83C12A,src/code_banks/bank_83.asm
CODE_83C144,Bank83_NpcSpriteLogicBranch_83C144,src/code_banks/bank_83.asm
CODE_83C163,Bank83_NpcSpriteLogicBranch_83C163,src/code_banks/bank_83.asm
CODE_83C1AB,Bank83_NpcSpriteLogicBranch_83C1AB,src/code_banks/bank_83.asm
CODE_83C1DC,Bank83_NpcSpriteLogicBranch_83C1DC,src/code_banks/bank_83.asm
CODE_83C1E8,Bank83_NpcSpriteLogicBranch_83C1E8,src/code_banks/bank_83.asm
CODE_83C1FF,Bank83_NpcSpriteLogicBranch_83C1FF,src/code_banks/bank_83.asm
CODE_83C219,Bank83_NpcSpriteLogicBranch_83C219,src/code_banks/bank_83.asm
CODE_83C258,Bank83_NpcSpriteLogicBranch_83C258,src/code_banks/bank_83.asm
CODE_83C26F,Bank83_NpcSpriteLogicBranch_83C26F,src/code_banks/bank_83.asm
CODE_83C27B,Bank83_NpcSpriteLogicBranch_83C27B,src/code_banks/bank_83.asm
CODE_83C295,Bank83_NpcSpriteLogicBranch_83C295,src/code_banks/bank_83.asm
CODE_83C29B,Bank83_NpcSpriteLogicBranch_83C29B,src/code_banks/bank_83.asm
CODE_83C2B5,Bank83_NpcSpriteLogicBranch_83C2B5,src/code_banks/bank_83.asm
CODE_83C2C1,Bank83_NpcSpriteLogicBranch_83C2C1,src/code_banks/bank_83.asm
CODE_83C2D5,Bank83_NpcSpriteLogicBranch_83C2D5,src/code_banks/bank_83.asm
CODE_83C2D8,Bank83_NpcSpriteLogicBranch_83C2D8,src/code_banks/bank_83.asm
CODE_83C2EC,Bank83_NpcSpriteLogicBranch_83C2EC,src/code_banks/bank_83.asm
CODE_83C2F3,Bank83_NpcSpriteLogicBranch_83C2F3,src/code_banks/bank_83.asm
CODE_83C2F5,Bank83_NpcSpriteLogicBranch_83C2F5,src/code_banks/bank_83.asm
CODE_83C309,Bank83_NpcSpriteLogicBranch_83C309,src/code_banks/bank_83.asm
CODE_83C310,Bank83_NpcSpriteLogicBranch_83C310,src/code_banks/bank_83.asm
CODE_83C312,Bank83_NpcSpriteLogicBranch_83C312,src/code_banks/bank_83.asm
CODE_83C326,Bank83_NpcSpriteLogicBranch_83C326,src/code_banks/bank_83.asm
CODE_83C32D,Bank83_NpcSpriteLogicBranch_83C32D,src/code_banks/bank_83.asm
CODE_83C32F,Bank83_NpcSpriteLogicBranch_83C32F,src/code_banks/bank_83.asm
CODE_83C343,Bank83_NpcSpriteLogicBranch_83C343,src/code_banks/bank_83.asm
CODE_83C34A,Bank83_NpcSpriteLogicBranch_83C34A,src/code_banks/bank_83.asm
CODE_83C34C,Bank83_NpcSpriteLogicBranch_83C34C,src/code_banks/bank_83.asm
CODE_83C360,Bank83_NpcSpriteLogicBranch_83C360,src/code_banks/bank_83.asm
CODE_83C362,Bank83_NpcSpriteLogicBranch_83C362,src/code_banks/bank_83.asm
CODE_83C370,Bank83_NpcSpriteLogicBranch_83C370,src/code_banks/bank_83.asm
CODE_83C3AB,Bank83_NpcSpriteLogicBranch_83C3AB,src/code_banks/bank_83.asm
CODE_83C3C9,Bank83_NpcSpriteLogicBranch_83C3C9,src/code_banks/bank_83.asm
CODE_83C3F0,Bank83_NpcSpriteLogicBranch_83C3F0,src/code_banks/bank_83.asm
CODE_83C401,Bank83_NpcSpriteLogicBranch_83C401,src/code_banks/bank_83.asm
